,2025_supply,2030_supply,2035_supply,2040_supply,2045_supply,2050_supply,2025_price,2030_price,2035_price,2040_price,2045_price,2050_price,product_price,GCAM,Units_supply,Units_price,colors
297,,0.17149953333333334,0.3825946666666667,0.7668173333333335,5.54774,6.6913,,212.00050909090905,193.72379999999995,177.02421818181816,161.7631827272727,216.3758727272727,BECCS,NE,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#BFBE43
299,0.19060946666666667,0.3087340666666667,0.783607,2.145894666666667,0.9848153333333334,3.4698436666666668,371.2520999999999,354.27302727272723,332.5442727272727,305.61998181818177,287.8290545454545,269.32442727272723,DAC,NE,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#74A751
301,,,0.07900016666666666,0.270017,2.696719666666667,10.371826666666667,,,276.4414636363636,232.7177727272727,205.73359090909088,186.96610909090904,TEW,NE,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#DD9452
303,,0.07696700000000001,0.1710613666666667,0.33969173333333336,2.511432,6.360126666666667,,212.00050909090905,193.72379999999995,177.02421818181816,161.7631827272727,171.64401818181815,BECCS,NV,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#BFBE43
305,0.08252603333333333,0.15217143333333333,0.415283,1.1472926666666667,0.4889976666666667,1.8270743333333335,373.2185181818181,348.9111272727272,324.1412454545454,297.98721818181815,279.09496363636356,260.13449999999995,DAC,NV,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#74A751
307,,,0.06965346666666668,0.2498587666666667,2.5333733333333335,7.645476666666667,,,220.44679090909085,182.0500636363636,161.2947027272727,161.4296236363636,TEW,NV,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#DD9452
309,,0.021715063333333336,0.044234300000000004,0.08008770000000001,0.6979756666666667,3.2252513333333335,,212.00050909090905,193.72379999999995,177.02421818181816,161.7631827272727,147.8180836363636,BECCS,NH,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#BFBE43
311,,,0.0342111,0.05819183333333333,0.06784286666666668,0.2385152,,,391.047709090909,376.9101272727272,351.82415454545446,352.1618727272727,DAC,NH,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#74A751
313,,,,0.04095006666666667,0.3044367333333333,1.1645883333333333,,,,221.3784272727272,213.30147272727268,207.58189090909087,OEW,NH,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#698FC6
315,,,,0.042097,0.29993626666666673,0.45005766666666674,,,,203.62576363636362,214.36287272727267,284.98756363636363,TEW,NH,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#DD9452
317,,0.16595333333333334,0.34097103333333334,0.6271540000000001,5.353993333333334,6.904920000000001,,212.00050909090905,193.72379999999995,177.02421818181816,161.7631827272727,219.12087272727268,BECCS,NJ,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#BFBE43
319,0.14605616666666668,0.22264403333333335,0.5194273333333335,1.1073113333333333,0.827431,3.1366023333333337,388.14466363636353,372.21867272727263,348.3637909090908,326.4653454545454,301.4359363636363,285.04745454545446,DAC,NJ,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#74A751
321,0.025651376666666666,0.07661756666666666,0.2192369666666667,0.5048890000000001,3.7860166666666673,13.376586666666666,234.14350909090905,217.71010909090907,203.92521818181817,190.29338181818179,181.57093636363632,175.7731636363636,OEW,NJ,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#698FC6
323,,0.035773943333333336,0.14328380000000002,0.38162300000000005,1.2333676666666666,1.441927666666667,,260.5121454545454,218.1426545454545,193.92842727272725,263.88100909090906,369.33559090909085,TEW,NJ,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#DD9452
325,,0.13487613333333334,0.3028091,0.6149586666666668,4.159906666666667,6.968096666666667,,212.00050909090905,193.72379999999995,177.02421818181816,161.7631827272727,196.27082727272725,BECCS,NM,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#BFBE43
327,0.17843870000000003,0.3082588666666667,0.8421673333333334,2.4928053333333335,0.8874726666666668,3.3262973333333337,359.5035,340.9439727272727,317.7545454545454,291.02489999999995,270.72188181818177,251.13589090909088,DAC,NM,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#74A751
329,,,0.09034593333333334,0.3309771666666667,3.1646523333333336,10.497006666666667,,,244.52293636363632,202.02700909090905,177.2005636363636,171.21313636363635,TEW,NM,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#DD9452
331,,0.280544,0.5731293333333334,1.040809,5.828826666666667,7.663773333333334,,212.00050909090905,193.72379999999995,177.02421818181816,184.28931818181815,248.9631818181818,BECCS,NY,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#BFBE43
333,0.20174,0.3342023666666667,0.7467680000000001,1.4775530000000001,1.1851326666666668,4.389183333333333,402.16911818181813,379.98619090909085,357.36739090909083,337.5102272727272,313.40579999999994,299.7922636363636,DAC,NY,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#74A751
335,0.03901333333333334,0.11453346666666668,0.32568763333333334,0.7403440000000001,5.289423333333334,18.805673333333335,242.0241545454545,226.82018181818177,212.49793636363634,198.31044545454543,190.3532727272727,184.5804545454545,OEW,NY,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#698FC6
