,Unnamed: 0,region,GCAM_region_ID,GCAM_commodity,GCAM_subsector,GLU,Irr_Rfd,kg_bio_ha,kg_P_ha,cat,Version
60,61,USA,1,FodderHerb,FodderHerb,GLU221,rfd,0.0,,GLU221_FodderHerb_USA,Upper CI
61,62,USA,1,FodderHerb,FodderHerb,GLU222,rfd,0.0,,GLU222_FodderHerb_USA,Lower CI
61,62,USA,1,FodderHerb,FodderHerb,GLU222,rfd,0.0,,GLU222_FodderHerb_USA,Median
61,62,USA,1,FodderHerb,FodderHerb,GLU222,rfd,0.0,,GLU222_FodderHerb_USA,Upper CI
62,63,USA,1,FodderHerb,FodderHerb,GLU223,rfd,0.0,,GLU223_FodderHerb_USA,Lower CI
62,63,USA,1,FodderHerb,FodderHerb,GLU223,rfd,0.0,,GLU223_FodderHerb_USA,Median
62,63,USA,1,FodderHerb,FodderHerb,GLU223,rfd,0.0,,GLU223_FodderHerb_USA,Upper CI
63,64,USA,1,FodderHerb,FodderHerb,GLU224,rfd,0.0,,GLU224_FodderHerb_USA,Lower CI
63,64,USA,1,FodderHerb,FodderHerb,GLU224,rfd,0.0,,GLU224_FodderHerb_USA,Median
63,64,USA,1,FodderHerb,FodderHerb,GLU224,rfd,0.0,,GLU224_FodderHerb_USA,Upper CI
64,65,USA,1,FodderHerb,FodderHerb,GLU225,rfd,0.0,,GLU225_FodderHerb_USA,Lower CI
64,65,USA,1,FodderHerb,FodderHerb,GLU225,rfd,0.0,,GLU225_FodderHerb_USA,Median
64,65,USA,1,FodderHerb,FodderHerb,GLU225,rfd,0.0,,GLU225_FodderHerb_USA,Upper CI
65,66,USA,1,FodderHerb,FodderHerb,GLU226,rfd,0.0,,GLU226_FodderHerb_USA,Lower CI
65,66,USA,1,FodderHerb,FodderHerb,GLU226,rfd,0.0,,GLU226_FodderHerb_USA,Median
65,66,USA,1,FodderHerb,FodderHerb,GLU226,rfd,0.0,,GLU226_FodderHerb_USA,Upper CI
66,67,USA,1,FodderHerb,FodderHerb,GLU227,rfd,0.0,,GLU227_FodderHerb_USA,Lower CI
66,67,USA,1,FodderHerb,FodderHerb,GLU227,rfd,0.0,,GLU227_FodderHerb_USA,Median
66,67,USA,1,FodderHerb,FodderHerb,GLU227,rfd,0.0,,GLU227_FodderHerb_USA,Upper CI
67,68,USA,1,FodderHerb,FodderHerb,GLU228,rfd,0.0,,GLU228_FodderHerb_USA,Lower CI
67,68,USA,1,FodderHerb,FodderHerb,GLU228,rfd,0.0,,GLU228_FodderHerb_USA,Median
67,68,USA,1,FodderHerb,FodderHerb,GLU228,rfd,0.0,,GLU228_FodderHerb_USA,Upper CI
68,69,USA,1,FodderHerb,FodderHerb,GLU229,rfd,0.0,,GLU229_FodderHerb_USA,Lower CI
68,69,USA,1,FodderHerb,FodderHerb,GLU229,rfd,0.0,,GLU229_FodderHerb_USA,Median
68,69,USA,1,FodderHerb,FodderHerb,GLU229,rfd,0.0,,GLU229_FodderHerb_USA,Upper CI
69,70,USA,1,FodderHerb,FodderHerb,GLU230,rfd,0.0,,GLU230_FodderHerb_USA,Lower CI
69,70,USA,1,FodderHerb,FodderHerb,GLU230,rfd,0.0,,GLU230_FodderHerb_USA,Median
69,70,USA,1,FodderHerb,FodderHerb,GLU230,rfd,0.0,,GLU230_FodderHerb_USA,Upper CI
70,71,USA,1,FodderHerb,FodderHerb,GLU231,rfd,0.0,,GLU231_FodderHerb_USA,Lower CI
70,71,USA,1,FodderHerb,FodderHerb,GLU231,rfd,0.0,,GLU231_FodderHerb_USA,Median
70,71,USA,1,FodderHerb,FodderHerb,GLU231,rfd,0.0,,GLU231_FodderHerb_USA,Upper CI
71,72,USA,1,FodderHerb,FodderHerb,GLU232,rfd,0.0,,GLU232_FodderHerb_USA,Lower CI
71,72,USA,1,FodderHerb,FodderHerb,GLU232,rfd,0.0,,GLU232_FodderHerb_USA,Median
71,72,USA,1,FodderHerb,FodderHerb,GLU232,rfd,0.0,,GLU232_FodderHerb_USA,Upper CI
72,73,USA,1,FodderHerb,FodderHerb,GLU233,rfd,0.0,,GLU233_FodderHerb_USA,Lower CI
72,73,USA,1,FodderHerb,FodderHerb,GLU233,rfd,0.0,,GLU233_FodderHerb_USA,Median
72,73,USA,1,FodderHerb,FodderHerb,GLU233,rfd,0.0,,GLU233_FodderHerb_USA,Upper CI
73,74,USA,1,FodderHerb,FodderHerbC4,GLU023,rfd,0.0,,GLU023_FodderHerbC4_USA,Lower CI
73,74,USA,1,FodderHerb,FodderHerbC4,GLU023,rfd,0.0,,GLU023_FodderHerbC4_USA,Median
73,74,USA,1,FodderHerb,FodderHerbC4,GLU023,rfd,0.0,,GLU023_FodderHerbC4_USA,Upper CI
74,75,USA,1,FodderHerb,FodderHerbC4,GLU027,rfd,0.0,,GLU027_FodderHerbC4_USA,Lower CI
74,75,USA,1,FodderHerb,FodderHerbC4,GLU027,rfd,0.0,,GLU027_FodderHerbC4_USA,Median
