,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,SSP,Version,GCAM,input,cat
569,78.249844,88.412586,63.079912,62.24624,59.421416,,,,0.006551363063274334,0.006742289436353389,-0.00024073866250642418,-0.00035521983751833955,-0.000712511829706675,SSP1,Upper CI,Eastern Europe,Staples,Eastern EuropeStaples
588,71.362972,88.713956,110.794108,131.105498,142.340138,,,,-0.32620512928212914,-0.6568616789293257,-0.3993595749174617,-0.3931337462266072,-0.4140515587018301,SSP1,Lower CI,Other Europe,Non-Staples,Other EuropeNon-Staples
589,71.362972,88.713956,110.794108,131.105498,142.340138,,,,-0.27829898926199803,-0.38789351534399685,-0.3531504984040126,-0.35907154750799464,-0.38571451668400414,SSP1,Median,Other Europe,Non-Staples,Other EuropeNon-Staples
590,71.362972,88.713956,110.794108,131.105498,142.340138,,,,-0.107377469312094,-0.11421707324268149,-0.2966568667897939,-0.29991792618082463,-0.34840338819074357,SSP1,Upper CI,Other Europe,Non-Staples,Other EuropeNon-Staples
609,126.782716,129.617772,120.73096,118.47428000000001,121.16598,,,,-0.008708914657788419,-0.041500512551588875,-0.00962986980382903,4.241040890752817e-05,0.00015564102527127963,SSP1,Lower CI,Other Europe,Staples,Other EuropeStaples
610,126.782716,129.617772,120.73096,118.47428000000001,121.16598,,,,0.025122833349999762,0.00450175263799979,0.001243558221999841,0.007752875841999796,0.004370358795999785,SSP1,Median,Other Europe,Staples,Other EuropeStaples
611,126.782716,129.617772,120.73096,118.47428000000001,121.16598,,,,0.05445934839823273,0.05104092389370654,0.019048125967067144,0.014267028228616523,0.008056886735490366,SSP1,Upper CI,Other Europe,Staples,Other EuropeStaples
630,18.5377608,20.347603200000002,21.3700682,21.4275528,22.6565089492,,,,-0.01407072674641905,-0.05662432894042005,-0.011841896433173843,-0.008321824680183307,-0.007573002691840644,SSP1,Lower CI,European Free Trade Association,Non-Staples,European Free Trade AssociationNon-Staples
631,18.5377608,20.347603200000002,21.3700682,21.4275528,22.6565089492,,,,-0.013040245975840747,-0.014431998829085302,-0.007011650786434842,-0.004724745522944218,-0.003581356182888129,SSP1,Median,European Free Trade Association,Non-Staples,European Free Trade AssociationNon-Staples
632,18.5377608,20.347603200000002,21.3700682,21.4275528,22.6565089492,,,,0.002185872809770616,0.01899693357996279,0.000385307768372669,0.0027784105628134914,0.0020152748035356573,SSP1,Upper CI,European Free Trade Association,Non-Staples,European Free Trade AssociationNon-Staples
651,8.9407066,10.2774046,9.8472156,10.014857200000002,10.379447,,,,-0.0001766712290068135,-0.008638560948599713,-0.001172604897690875,-0.00010448548076702469,0.00014666291427073696,SSP1,Lower CI,European Free Trade Association,Staples,European Free Trade AssociationStaples
652,8.9407066,10.2774046,9.8472156,10.014857200000002,10.379447,,,,0.000267964707019952,-0.0001760870910400003,-0.00016013723836000304,0.0005722578844400972,0.0005487258782601034,SSP1,Median,European Free Trade Association,Staples,European Free Trade AssociationStaples
653,8.9407066,10.2774046,9.8472156,10.014857200000002,10.379447,,,,0.0026135356813401034,0.004132291829999775,0.0008378208365917619,0.0011166633439061327,0.0009799903939541174,SSP1,Upper CI,European Free Trade Association,Staples,European Free Trade AssociationStaples
672,357.115508,526.89162,760.2044,982.8848,1186.1022,,,,-0.17838245246361323,-1.6359188467823498,-1.644446183745752,-1.6679183581490764,-1.6903598565325768,SSP1,Lower CI,India,Non-Staples,IndiaNon-Staples
673,357.115508,526.89162,760.2044,982.8848,1186.1022,,,,0.11708040382001172,-0.8901909971600048,-1.4267865040999936,-1.5582462698479844,-1.6377908089959874,SSP1,Median,India,Non-Staples,IndiaNon-Staples
674,357.115508,526.89162,760.2044,982.8848,1186.1022,,,,0.34492504004585384,-0.012475152556487235,-1.1490696082295015,-1.2428497506915241,-1.4411439304746603,SSP1,Upper CI,India,Non-Staples,IndiaNon-Staples
693,1080.3144,1306.1892,1348.721,1374.3876,1395.5818,,,,4.250813217717794,3.615193233530011,3.329941845549632,3.1767845487079316,3.004601335176326,SSP1,Lower CI,India,Staples,IndiaStaples
694,1080.3144,1306.1892,1348.721,1374.3876,1395.5818,,,,4.431793389799992,3.7964669270399938,3.4006732664600037,3.2047882820199973,3.011368053600009,SSP1,Median,India,Staples,IndiaStaples
695,1080.3144,1306.1892,1348.721,1374.3876,1395.5818,,,,4.474109613491085,4.0635098338488005,3.5237595993284723,3.312657710619679,3.0807689907894025,SSP1,Upper CI,India,Staples,IndiaStaples
