,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,SSP,Version,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
6755,0.0,0.0,0.0,0.0273849,0.0273849,,,,202.21914238190197,165.82538040298024,158.91833174994298,158.50626287876952,158.2759768945256,SSP1,Lower CI,Indonesia,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
6755,0.0,0.0,0.0,0.0354564,0.0354564,,,,226.31999999999996,168.11588235294118,162.81941176470588,162.35235294117643,162.21941176470585,SSP1,Median,Indonesia,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
6755,0.0,0.0,0.0,0.0273849,0.0273849,,,,259.5136680756143,197.0800175208952,182.1392032640626,180.8131208747318,180.1970203043539,SSP1,Upper CI,Indonesia,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
7094,0.0,0.0,0.0,0.0273849,0.0273849,,,,163.05022099537072,156.5112177608361,152.02277729488617,151.3662111718164,151.1360662471285,SSP1,Lower CI,Japan,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
7094,0.0,0.0,0.0,0.0354564,0.0354564,,,,168.27058823529413,158.85882352941175,156.45529411764704,155.93470588235292,155.72823529411764,SSP1,Median,Japan,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
7094,0.0,0.0,0.0,0.0273849,0.0273849,,,,173.38193586737432,172.89258846753765,166.3275868507721,165.3605115172592,165.03300938312356,SSP1,Upper CI,Japan,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
7472,0.0,0.0,0.0,0.0273849,0.0273849,,,,159.07913968771962,154.0015174225247,149.59138399560038,149.16343653793558,148.99559874122113,SSP1,Lower CI,Mexico,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
7472,0.0,0.0,0.0,0.0354564,0.0354564,,,,162.32529411764705,156.5505882352941,153.96529411764703,153.57999999999998,153.42176470588234,SSP1,Median,Mexico,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
7472,0.0,0.0,0.0,0.0273849,0.0273849,,,,163.96635050835877,170.46526458439567,164.29130508002982,163.6788043584229,163.3957738077984,SSP1,Upper CI,Mexico,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
7832,0.0,0.0,0.0,0.0273849,0.0273849,,,,154.55029642437978,149.66161256852882,147.02296299441144,146.8035981634434,146.71363271712565,SSP1,Lower CI,Middle East,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
7832,0.0,0.0,0.0,0.0354564,0.0354564,,,,157.27176470588236,152.72470588235294,151.8364705882353,151.5105882352941,151.39999999999998,SSP1,Median,Middle East,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
7832,0.0,0.0,0.0,0.0273849,0.0273849,,,,163.06891926189473,169.52925248337425,163.49647678149893,162.737242172691,162.3687202240508,SSP1,Upper CI,Middle East,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
8231,0.0,0.0,0.0,0.0273849,0.0273849,,,,161.0942298178098,151.83362066108657,148.52875287319623,148.01356756853315,147.80067938858767,SSP1,Lower CI,Pakistan,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
8231,0.0,0.0,0.0,0.0354564,0.0354564,,,,167.1458823529412,155.69882352941175,154.06470588235294,153.44588235294114,153.1670588235294,SSP1,Median,Pakistan,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
8231,0.0,0.0,0.0,0.0273849,0.0273849,,,,176.05714273120984,177.43136203787532,169.78754964781214,168.74956968636874,168.13007691393332,SSP1,Upper CI,Pakistan,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
8612,0.0,0.0,0.0,0.0273849,0.0273849,,,,161.34222343004797,159.72414355339478,153.93929912836472,153.05838270939464,152.68824294382085,SSP1,Lower CI,Russia,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
8612,0.0,0.0,0.0,0.0354564,0.0354564,,,,172.57882352941175,162.19176470588235,158.4535294117647,157.56941176470588,157.1476470588235,SSP1,Median,Russia,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
8612,0.0,0.0,0.0,0.0273849,0.0273849,,,,202.3711099032853,181.2712889725568,171.1297204794784,169.7778077667958,169.1445301654228,SSP1,Upper CI,Russia,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
9037,0.0,0.0,0.0,0.0273849,0.0273849,,,,156.44514439360356,152.32491625635296,149.40535923599623,149.10483340248922,148.94388144189614,SSP1,Lower CI,South Africa,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
9037,0.0,0.0,0.0,0.0354564,0.0354564,,,,158.45470588235295,154.85176470588232,154.26470588235293,153.98117647058822,153.82764705882352,SSP1,Median,South Africa,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
9037,0.0,0.0,0.0,0.0273849,0.0273849,,,,160.8833523384226,168.74428789589618,163.93744188445197,163.32625903448556,163.02519418835593,SSP1,Upper CI,South Africa,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
9374,0.0,0.0,0.0,0.0273849,0.0273849,,,,159.27688305181647,159.24479092999692,155.80242092878058,155.75172263884892,155.70406496936698,SSP1,Lower CI,South America_Northern,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
9374,0.0,0.0,0.0,0.0354564,0.0354564,,,,171.1441176470588,161.1970588235294,161.16235294117647,161.18470588235292,161.1794117647059,SSP1,Median,South America_Northern,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
9374,0.0,0.0,0.0,0.0273849,0.0273849,,,,204.05631956256258,179.08462083470894,171.6557303317236,171.1802101342603,170.9600246664873,SSP1,Upper CI,South America_Northern,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
9715,0.0,0.0,0.0,0.0273849,0.0273849,,,,156.80601603634318,158.9944738741205,155.5416856976949,154.85454730819373,154.54705992978393,SSP1,Lower CI,South America_Southern,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
9715,0.0,0.0,0.0,0.0354564,0.0354564,,,,165.51529411764704,162.19411764705882,160.78823529411764,159.95588235294116,159.6041176470588,SSP1,Median,South America_Southern,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
9715,0.0,0.0,0.0,0.0273849,0.0273849,,,,183.63803625123847,177.37133927466834,170.90005099698294,169.78718938648404,169.33305211503404,SSP1,Upper CI,South America_Southern,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
10065,0.0,0.0,0.0,0.0273849,0.0273849,,,,242.34552475481047,162.84648176649748,153.98518094588766,153.16566706234266,153.02884905709897,SSP1,Lower CI,South Asia,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
10065,0.0,0.0,0.0,0.0354564,0.0354564,,,,289.81294117647053,163.26470588235293,157.82117647058823,157.11705882352942,157.02176470588233,SSP1,Median,South Asia,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
10065,0.0,0.0,0.0,0.0273849,0.0273849,,,,339.55852753277117,209.7835528355786,183.56725602890228,180.0827923214108,179.63120696530996,SSP1,Upper CI,South Asia,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
10409,0.0,0.0,0.0,0.0273849,0.0273849,,,,148.735460849381,154.37995045279158,150.82528087694197,150.56675231235587,150.4567036063579,SSP1,Lower CI,South Korea,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
10409,0.0,0.0,0.0,0.0354564,0.0354564,,,,163.63529411764705,156.12941176470588,155.45294117647057,155.27705882352942,155.21941176470585,SSP1,Median,South Korea,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
10409,0.0,0.0,0.0,0.0273849,0.0273849,,,,200.72283980421372,169.61423639841942,164.51667990737178,164.00120286971693,163.78861852249355,SSP1,Upper CI,South Korea,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
10748,0.0,0.0,0.0,0.0273849,0.0273849,,,,176.94457565059898,161.9346797617418,155.99166997732252,154.99516929461848,154.7288980958198,SSP1,Lower CI,Southeast Asia,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
10748,0.0,0.0,0.0,0.0354564,0.0354564,,,,196.85470588235296,163.65647058823527,159.8505882352941,159.16470588235293,159.00823529411764,SSP1,Median,Southeast Asia,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
10748,0.0,0.0,0.0,0.0273849,0.0273849,,,,240.12143742129646,188.10061435590524,174.1204868854226,172.21799597148785,171.64309069969838,SSP1,Upper CI,Southeast Asia,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
11154,0.0,0.0,0.0,0.0273849,0.0273849,,,,162.92108774863516,156.9333362978869,154.2469621713679,154.19419018405955,154.1479177286475,SSP1,Lower CI,Taiwan,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
11154,0.0,0.0,0.0,0.0354564,0.0354564,,,,165.21235294117645,159.20235294117646,159.23999999999998,159.31470588235294,159.32176470588232,SSP1,Median,Taiwan,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
11154,0.0,0.0,0.0,0.0273849,0.0273849,,,,167.44845473502494,172.9528920758155,168.79539076980853,168.49113194479202,168.35325874194072,SSP1,Upper CI,Taiwan,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
11507,0.0,0.0,0.0,0.0273849,0.0273849,,,,153.90905638341204,159.03898914874392,155.00992384001785,154.5762013836162,154.3160165769094,SSP1,Lower CI,USA,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
11507,0.0,0.0,0.0,0.0354564,0.0354564,,,,164.67411764705884,161.0170588235294,160.06529411764703,159.5741176470588,159.28235294117647,SSP1,Median,USA,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
11507,0.0,0.0,0.0,0.0273849,0.0273849,,,,202.40113969501934,179.20357140488923,171.06705094989815,170.21830842030533,169.75429154633989,SSP1,Upper CI,USA,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
