C (wt%),H (wt%),N (wt%),O (wt%),Bio_HHV,FC (%),VM (%),Ash (%),T (°C),RT (min),HT (°C/min),Yield_char (%),C_char (%),H_char (%),O_char (%),N_char (%),Char_HHV,ER,CR,REF,https://doi.org/10.1016/j.enconman.2020.113258,,
34.93,45.96,1.4,17.72,21.71,25.57,58.19,8.92,450,15,20,44.88,62.73,2.63,2.61,2.43,22.88,47.31,80.61,,,,
34.93,45.96,1.4,17.72,21.71,25.57,58.19,8.92,450,45,20,45.6,61.93,2.66,2.64,2.47,22.58,47.43,80.86,,,,
34.93,45.96,1.4,17.72,21.71,25.57,58.19,8.92,450,5,50,43.92,62.42,2.9,2.87,2.39,23.14,46.82,78.5,,,,
34.93,45.96,1.4,17.72,21.71,25.57,58.19,8.92,450,15,50,43.4,62.32,2.82,2.8,2.33,22.99,45.97,77.45,,,,
34.93,45.96,1.4,17.72,21.71,25.57,58.19,8.92,450,45,50,44.19,60.81,2.75,2.73,2.3,22.21,45.23,76.94,,,,
44.8,7.1,0.43,37.3,20.76,22.15,60.83,10.37,400,30,15,39.16,61.27,5.47,16.01,1.53,22.78,42.96,53.56,[19],,,
44.8,7.1,0.43,37.3,20.76,22.15,60.83,10.37,450,30,15,35.22,59.98,4.54,13.21,1.53,24.75,41.98,47.15,,,,
44.8,7.1,0.43,37.3,20.76,22.15,60.83,10.37,500,30,15,31.78,63.52,3.44,9.09,1.23,26.47,40.51,45.06,,,,
44.8,7.1,0.43,37.3,20.76,22.15,60.83,10.37,550,30,15,30.48,67.75,3.11,6.95,1.26,28.4,41.69,46.09,,,,
49.65,7.54,4.03,38.13,20.98,14.08,78.71,1.83,400,60,5,41.47,72.28,4.58,18.08,4.95,29.61,58.53,60.37,[21],,,
49.65,7.54,4.03,38.13,20.98,14.08,78.71,1.83,500,60,5,29.83,74.37,2.85,18.28,4.39,28.96,41.18,44.68,,,,
49.65,7.54,4.03,38.13,20.98,14.08,78.71,1.83,600,60,5,29.28,75.86,1.94,19.11,3.05,28.52,39.8,44.74,,,,
49.65,7.54,4.03,38.13,20.98,14.08,78.71,1.83,800,60,5,27.87,78.19,1.79,17.13,2.84,27.23,36.17,43.89,,,,
46.82,6.33,0.16,44.65,18.2,18.61,79.2,2.05,350,70,5,40.36,68.15,4.09,22.85,0.5,25.32,56.17,58.75,[27],,,
47.59,5.82,0.78,43.38,18.8,28.57,68.99,2.43,350,70,5,46.93,63.99,4,25.47,0.97,25.97,64.82,63.1,,,,
45.52,6.26,0.24,43.83,17.57,12.97,83.03,4,350,70,5,41.34,65.02,4.19,24.72,0.55,24.35,57.3,59.05,,,,
33.59,5.81,2.11,41.07,11.8,17.43,65.15,17.4,350,70,5,56.41,45.53,3.53,16.44,3.93,17.24,82.44,76.47,,,,
43.52,5.77,0.04,50.34,17,9.88,78.55,0.28,315,30,14.2,50.88,74.65,5.11,18.7,0.34,26.06,77.99,87.27,[28],,,
43.52,5.77,0.04,50.34,16.71,9.88,78.55,0.28,330,30,25.5,32.81,78.97,3.45,15.13,0.48,28.94,56.83,59.53,,,,
43.52,5.77,0.04,50.34,16.71,9.88,78.55,0.28,425,30,51.5,27.37,84.85,3.02,9.24,0.47,30.86,50.55,53.36,,,,
43.52,5.77,0.04,50.34,16.71,9.88,78.55,0.28,490,30,57.6,21.93,88.19,2.63,5.57,0.56,31.3,41.09,44.44,,,,
43.52,5.77,0.04,50.34,16.71,9.88,78.55,0.28,560,30,76.8,20.7,90.71,1.78,4.08,0.56,31.36,38.86,43.15,,,,
45.46,5.32,0.18,40.6,17.96,17.4,74.2,0.8,400,45,30,26.19,75.5,4.2,20.1,0.2,28.7,41.84,43.49,[29],,,
45.46,5.32,0.18,40.6,17.96,17.4,74.2,0.8,500,45,30,22.22,82.8,3.5,13.4,0.3,31.89,39.46,40.47,,,,
45.46,5.32,0.18,40.6,17.96,17.4,74.2,0.8,600,45,30,20.24,88.5,2.3,8.9,0.2,32.54,36.67,39.4,,,,
31.31,3.33,1.08,36.44,14.88,19.2,53.1,17,400,45,30,26.56,55,3.5,39.8,1.7,23.62,42.16,46.66,,,,
31.31,3.33,1.08,36.44,14.88,19.2,53.1,17,500,45,30,18.92,58.9,2.7,36.5,1.9,26,33.07,35.6,,,,
31.31,3.33,1.08,36.44,14.88,19.2,53.1,17,600,45,30,17.93,62.5,1.9,34,1.6,28.18,33.96,35.79,,,,
32,50.57,1.97,15.46,15.18,11.56,61.25,27.36,400,60,20,51.35,34.89,1.96,10.16,2.44,12.43,42.05,56,[32],,,
32,50.57,1.97,15.46,15.18,11.56,61.25,27.36,500,60,20,45.76,34.92,1.14,6.04,2.27,12.15,36.63,49.94,,,,
32,50.57,1.97,15.46,15.18,11.56,61.25,27.36,600,60,20,44.02,33.03,0.62,6.49,1.85,10.97,31.81,45.44,,,,
32.14,48.46,1.64,17.77,15.26,14.07,65.88,20.69,400,60,20,48.21,42.27,2.41,11.39,2.46,15.32,48.4,63.41,,,,
32.14,48.46,1.64,17.77,15.26,14.07,65.88,20.69,500,60,20,43.32,43.04,1.54,6.91,2.27,15.3,43.43,58.01,,,,
32.14,48.46,1.64,17.77,15.26,14.07,65.88,20.69,600,60,20,39.83,44.64,5.27,26.92,1.97,15.87,41.42,55.32,,,,
32.86,45.98,1.59,19.57,13.72,13.23,63.02,23.81,400,60,20,50.66,40.55,2.09,11.39,2.08,14.46,53.39,62.51,,,,
32.86,45.98,1.59,19.57,13.72,13.23,63.02,23.81,500,60,20,46.46,39.88,1.32,9.09,1.87,13.75,46.56,56.39,,,,
32.86,45.98,1.59,19.57,13.72,13.23,63.02,23.81,600,60,20,44.02,41.53,0.89,2.69,1.69,14.76,47.35,55.63,,,,
30.27,48.59,3.39,17.76,12.77,10.71,62.67,26.68,400,60,20,49.26,37.59,2.18,6.13,4.57,13.72,52.92,61.17,,,,
30.27,48.59,3.39,17.76,12.77,10.71,62.67,26.68,500,60,20,44.72,36.78,1.23,3.11,3.69,13.05,45.7,54.34,,,,
30.27,48.59,3.39,17.76,12.77,10.71,62.67,26.68,600,60,20,42.62,37.47,0.91,3.08,3.17,13.44,44.86,52.76,,,,
31.48,49.93,2.03,16.56,14.27,8.66,63.54,27.88,400,60,20,50.66,35.39,1.98,7.76,2.52,12.97,46.04,56.94,,,,
31.48,49.93,2.03,16.56,14.27,8.66,63.54,27.88,500,60,20,46.81,33.38,1.05,4.59,2.2,11.76,38.58,49.63,,,,
31.48,49.93,2.03,16.56,14.27,8.66,63.54,27.88,600,60,20,44.72,33.81,0.71,2.33,1.91,11.91,37.32,48.02,,,,
42,5.5,0.1,44.9,15.8,15.3,77.2,7.4,350,10,5,41.91,61.4,3.6,19,1,24.1,63.92,61.27,[37],,,
42,5.5,0.1,44.9,15.8,15.3,77.2,7.4,350,20,5,41.99,62.7,4.4,16.5,1.1,23.1,61.39,62.69,,,,
42,5.5,0.1,44.9,15.8,15.3,77.2,7.4,350,40,5,43.28,56.6,2.9,17.6,1.1,23.8,65.19,58.32,,,,
42,5.5,0.1,44.9,15.8,15.3,77.2,7.4,650,10,5,32.08,71.1,1.3,5.8,1,24,48.73,54.31,,,,
42,5.5,0.1,44.9,15.8,15.3,77.2,7.4,650,20,5,30.87,72.1,1.3,2.8,0.9,23,44.94,52.99,,,,
42,5.5,0.1,44.9,15.8,15.3,77.2,7.4,650,40,5,29.92,73.2,1.2,3.5,1.1,24.4,46.2,52.14,,,,
42,5.5,0.1,44.9,15.8,15.3,77.2,7.4,350,10,5,50,55.5,4.2,27.1,0.9,21.6,68.35,66.07,,,,
42,5.5,0.1,44.9,15.8,15.3,77.2,7.4,350,20,5,45.25,60.4,5.2,19.2,1.1,22.1,63.29,65.07,,,,
42,5.5,0.1,44.9,15.8,15.3,77.2,7.4,350,40,5,37.22,62.1,3,17.8,1,22.3,52.53,55.03,,,,
42,5.5,0.1,44.9,15.8,15.3,77.2,7.4,650,10,5,29.96,69.2,1.2,7.2,1,24.7,46.84,49.36,,,,
42,5.5,0.1,44.9,15.8,15.3,77.2,7.4,650,20,5,29.48,71.2,1,6.7,1,25.1,46.84,49.98,,,,
42,5.5,0.1,44.9,15.8,15.3,77.2,7.4,650,40,5,28.94,71.4,1.1,4.6,1.2,23.5,43.04,49.19,,,,
42,5.5,0.1,44.9,15.8,15.3,77.2,7.4,350,10,5,41.46,62,4.7,16.9,1.1,24.6,64.56,61.21,,,,
42,5.5,0.1,44.9,15.8,15.3,77.2,7.4,350,20,5,39.43,62.9,4.6,15.4,1.1,24.6,61.39,59.05,,,,
42,5.5,0.1,44.9,15.8,15.3,77.2,7.4,350,40,5,37.45,64.6,4.3,13.4,1.1,24.3,57.59,57.6,,,,
42,5.5,0.1,44.9,15.8,15.3,77.2,7.4,650,10,5,29.84,71.8,1.6,5.1,1,24.8,46.84,51.01,,,,
42,5.5,0.1,44.9,15.8,15.3,77.2,7.4,650,20,5,30.71,68.8,1.4,7.4,1.1,24.1,46.84,50.3,,,,
42,5.5,0.1,44.9,15.8,15.3,77.2,7.4,650,40,5,27.8,72.5,1.3,3,1.1,25.9,45.57,47.99,,,,
53.7,6.7,0,33.9,17.6,17.2,77.2,5.7,350,10,5,55.96,67.3,4.5,27.5,0,27.7,88.07,70.13,,,,
53.7,6.7,0,33.9,17.6,17.2,77.2,5.7,350,20,5,54.68,63.5,5.3,30,0.1,26.7,82.95,64.66,,,,
53.7,6.7,0,33.9,17.6,17.2,77.2,5.7,350,40,5,50.36,68.4,4.6,25.8,0,27.6,78.98,64.15,,,,
53.7,6.7,0,33.9,17.6,17.2,77.2,5.7,650,10,5,28.87,90.4,2.2,5.9,0.1,33.6,55.11,48.6,,,,
53.7,6.7,0,33.9,17.6,17.2,77.2,5.7,650,20,5,28.57,89.8,2.2,5.9,0.1,33.6,54.55,47.78,,,,
53.7,6.7,0,33.9,17.6,17.2,77.2,5.7,650,40,5,28.91,90,2,5.9,0.1,33.9,55.68,48.45,,,,
53.7,6.7,0,33.9,17.6,17.2,77.2,5.7,350,10,5,42.75,71.4,4.5,22.7,0,27.6,67.05,56.85,,,,
53.7,6.7,0,33.9,17.6,17.2,77.2,5.7,350,20,5,42.45,70.6,5.5,22.6,0.1,27.8,67.05,55.8,,,,
53.7,6.7,0,33.9,17.6,17.2,77.2,5.7,350,40,5,44.28,71.4,4.5,22.7,0,27.1,68.18,58.88,,,,
53.7,6.7,0,33.9,17.6,17.2,77.2,5.7,650,10,5,28.53,92.8,1.7,3.3,0,33.3,53.98,49.3,,,,
53.7,6.7,0,33.9,17.6,17.2,77.2,5.7,650,20,5,28.92,87.9,2.1,7.2,0.1,33.2,54.55,47.33,,,,
53.7,6.7,0,33.9,17.6,17.2,77.2,5.7,650,40,5,28.4,90.2,1.8,6.4,0,33.1,53.41,47.7,,,,
53.7,6.7,0,33.9,17.6,17.2,77.2,5.7,350,10,5,45.13,70.1,5.1,23.4,0.1,27.7,71.02,58.91,,,,
53.7,6.7,0,33.9,17.6,17.2,77.2,5.7,350,20,5,39.37,76.4,5,17.2,0.1,28.7,64.2,56.02,,,,
53.7,6.7,0,33.9,17.6,17.2,77.2,5.7,350,40,5,40.48,67.4,5.9,25.2,0.1,28.9,66.48,50.81,,,,
53.7,6.7,0,33.9,17.6,17.2,77.2,5.7,650,10,5,27.6,90.2,1.8,6.5,0,33.7,52.84,46.35,,,,
53.7,6.7,0,33.9,17.6,17.2,77.2,5.7,650,20,5,27.3,87.1,1.8,9.3,0,33.7,52.27,44.28,,,,
