sample_id,dataset_scope,data_tier,row_origin,recommended_split,recommended_sample_weight,recommended_ml_use,source_repo,source_file,source_dataset_kind,reference_label,pathway,feedstock_name,feedstock_group,manure_subtype,blend_manure_ratio,blend_wet_waste_ratio,feedstock_carbon_pct,feedstock_hydrogen_pct,feedstock_nitrogen_pct,feedstock_oxygen_pct,feedstock_moisture_pct,feedstock_volatile_matter_pct,feedstock_fixed_carbon_pct,feedstock_ash_pct,process_temperature_c,residence_time_min,product_char_yield_pct,product_char_hhv_mj_per_kg,energy_recovery_pct,carbon_retention_pct
Wet-Waste-Biomass-Opt::htc::0164,paper1_htc_scope,observed_single_feed,observed,validation,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Zhai et al., 2018)",htc,Food waste,food_waste,,0.0,1.0,51.14,7.63,3.45,26.31,75.0,72.55,15.98,11.47,300.0,60.0,5.25,32.42,10.5,9.83
Wet-Waste-Biomass-Opt::htc::0165,paper1_htc_scope,observed_single_feed,observed,train,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Kim et al., 2014)",htc,Food waste,food_waste,,0.0,1.0,61.94,7.22,6.51,10.97,89.0,80.17,6.47,13.36,200.0,60.0,56.15,30.13,72.07,72.59
Wet-Waste-Biomass-Opt::htc::0166,paper1_htc_scope,observed_single_feed,observed,train,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Kim et al., 2014)",htc,Food waste,food_waste,,0.0,1.0,61.94,7.22,6.51,10.97,89.0,80.17,6.47,13.36,230.0,60.0,39.76,31.49,53.34,54.48
Wet-Waste-Biomass-Opt::htc::0167,paper1_htc_scope,observed_single_feed,observed,train,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Kim et al., 2014)",htc,Food waste,food_waste,,0.0,1.0,61.94,7.22,6.51,10.97,89.0,80.17,6.47,13.36,260.0,60.0,35.71,32.94,50.1,50.65
Wet-Waste-Biomass-Opt::htc::0168,paper1_htc_scope,observed_single_feed,observed,train,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Kim et al., 2014)",htc,Food waste,food_waste,,0.0,1.0,61.94,7.22,6.51,10.97,89.0,80.17,6.47,13.36,200.0,180.0,48.43,30.08,62.05,63.03
Wet-Waste-Biomass-Opt::htc::0169,paper1_htc_scope,observed_single_feed,observed,train,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Kim et al., 2014)",htc,Food waste,food_waste,,0.0,1.0,61.94,7.22,6.51,10.97,89.0,80.17,6.47,13.36,230.0,180.0,40.9,31.84,55.48,56.02
Wet-Waste-Biomass-Opt::htc::0170,paper1_htc_scope,observed_single_feed,observed,train,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Kim et al., 2014)",htc,Food waste,food_waste,,0.0,1.0,61.94,7.22,6.51,10.97,89.0,80.17,6.47,13.36,260.0,180.0,33.28,33.13,46.97,47.49
Wet-Waste-Biomass-Opt::htc::0171,paper1_htc_scope,observed_single_feed,observed,train,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Kim et al., 2014)",htc,Food waste,food_waste,,0.0,1.0,61.94,7.22,6.51,10.97,89.0,80.17,6.47,13.36,200.0,480.0,44.56,30.96,58.77,59.33
Wet-Waste-Biomass-Opt::htc::0172,paper1_htc_scope,observed_single_feed,observed,train,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Kim et al., 2014)",htc,Food waste,food_waste,,0.0,1.0,61.94,7.22,6.51,10.97,89.0,80.17,6.47,13.36,230.0,480.0,38.8,31.46,52.0,52.5
Wet-Waste-Biomass-Opt::htc::0173,paper1_htc_scope,observed_single_feed,observed,validation,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Kim et al., 2014)",htc,Food waste,food_waste,,0.0,1.0,61.94,7.22,6.51,10.97,89.0,80.17,6.47,13.36,260.0,480.0,30.27,33.44,43.12,43.62
